Indicator,Economy,Year,Value
Growth Rates in Population,Viet Nam,2025,0.0
Population Density,Brunei Darussalam,2016,72.38
Population Density,Brunei Darussalam,2017,73.96
Population Density,Brunei Darussalam,2018,75.73
Population Density,Brunei Darussalam,2019,78.23
Population Density,Brunei Darussalam,2020,76.63
Population Density,Brunei Darussalam,2021,76.45
Population Density,Brunei Darussalam,2022,77.26
Population Density,Brunei Darussalam,2023,78.14
Population Density,Brunei Darussalam,2024,79.01
Population Density,Brunei Darussalam,2025,0.0
Population Density,Cambodia,2016,84.53
Population Density,Cambodia,2017,85.72
Population Density,Cambodia,2018,86.93
Population Density,Cambodia,2019,88.15
Population Density,Cambodia,2020,89.37
Population Density,Cambodia,2021,91.65
Population Density,Cambodia,2022,92.0
Population Density,Cambodia,2023,96.0
Population Density,Cambodia,2024,97.0
Population Density,Cambodia,2025,0.0
Population Density,Indonesia,2016,135.19
Population Density,Indonesia,2017,137.0
Population Density,Indonesia,2018,138.0
Population Density,Indonesia,2019,140.1
Population Density,Indonesia,2020,141.0
Population Density,Indonesia,2021,142.0
Population Density,Indonesia,2022,144.0
Population Density,Indonesia,2023,147.0
Population Density,Indonesia,2024,149.0
Population Density,Indonesia,2025,0.0
Population Density,Lao People's Democratic Republic,2016,29.41
Population Density,Lao People's Democratic Republic,2017,29.9
Population Density,Lao People's Democratic Republic,2018,30.39
Population Density,Lao People's Democratic Republic,2019,30.86
Population Density,Lao People's Democratic Republic,2020,31.33
Population Density,Lao People's Democratic Republic,2021,31.79
Population Density,Lao People's Democratic Republic,2022,32.25
Population Density,Lao People's Democratic Republic,2023,32.71
Population Density,Lao People's Democratic Republic,2024,33.13
Population Density,Lao People's Democratic Republic,2025,0.0
Population Density,Malaysia,2016,95.53
Population Density,Malaysia,2017,96.74
Population Density,Malaysia,2018,97.94
Population Density,Malaysia,2019,98.32
Population Density,Malaysia,2020,98.1
Population Density,Malaysia,2021,99.0
Population Density,Malaysia,2022,98.7
Population Density,Malaysia,2023,101.0
Population Density,Malaysia,2024,103.0
Population Density,Malaysia,2025,0.0
Population Density,Myanmar,2016,78.83
Population Density,Myanmar,2017,79.44
Population Density,Myanmar,2018,80.01
Population Density,Myanmar,2019,80.58
Population Density,Myanmar,2020,81.15
Population Density,Myanmar,2021,81.72
Population Density,Myanmar,2022,82.29
Population Density,Myanmar,2023,82.86
Population Density,Myanmar,2024,83.42
Population Density,Myanmar,2025,0.0
Population Density,Philippines,2016,341.77
Population Density,Philippines,2017,347.23
Population Density,Philippines,2018,352.52
Population Density,Philippines,2019,357.67
Population Density,Philippines,2020,362.67
Population Density,Philippines,2021,367.33
Population Density,Philippines,2022,371.91
Population Density,Philippines,2023,376.31
Population Density,Philippines,2024,376.0
Population Density,Philippines,2025,0.0
Population Density,Singapore,2016,7797.0
Population Density,Singapore,2017,7796.0
Population Density,Singapore,2018,7804.0
Population Density,Singapore,2019,7866.0
Population Density,Singapore,2020,7810.0
Population Density,Singapore,2021,7485.0
Population Density,Singapore,2022,7688.0
Population Density,Singapore,2023,8058.0
